coo_name,coa_name,refugees
Syrian Arab Rep.,Egypt,145658
Afghanistan,Austria,45282
Syrian Arab Rep.,Austria,73923
Ukraine,Austria,89862
Ukraine,Belgium,61975
Ukraine,Bulgaria,149215
Ukraine,Canada,75098
Ukraine,Czechia,433501
Afghanistan,France,63506
Syrian Arab Rep.,France,40339
Ukraine,France,69302
Ukraine,United Kingdom,182423
Afghanistan,Germany,180810
Syrian Arab Rep.,Germany,522575
Ukraine,Germany,1002999
Syrian Arab Rep.,Greece,42827
Afghanistan,Iran,3413249
Syrian Arab Rep.,Iraq,257439
Ukraine,Italy,149872
Syrian Arab Rep.,Jordan,660892
Syrian Arab Rep.,Lebanon,814715
Ukraine,Rep. of Moldova,98910
Syrian Arab Rep.,Netherlands,45141
Ukraine,Netherlands,102588
Afghanistan,Pakistan,1743278
Ukraine,Poland,958147
Ukraine,Romania,100086
Ukraine,Russian Federation,1275315
Ukraine,Spain,161157
Syrian Arab Rep.,Sudan,93478
Syrian Arab Rep.,Sweden,111199
Ukraine,Sweden,46857
Ukraine,Switzerland,60162
Syrian Arab Rep.,Türkiye,3535898
